"Part";"Value";"Device";"Package";"Description";"";
"C2";"330nf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C3";"100nf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C4";"100nf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C5";"560pf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C6";"560pf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C7";"100nf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"IC1";"7805DT";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";
"IC2";"MCP2551/SN";"MCP2551/SN";"SO08";"High-Speed CAN Transceiver";"";
"ISP1";"AVRISP-6";"AVRISP-6";"AVRISP";"AVR ISP HEADER";"";
"JP1";"";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";
"JP2";"CAN H";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";
"JP3";"CAN L";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";
"JP4";"";"PINHD-1X10";"1X10";"PIN HEADER";"";
"JP5";"";"PINHD-1X10";"1X10";"PIN HEADER";"";
"JP7";"";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";
"JP8";"";"PINHD-1X10";"1X10";"PIN HEADER";"";
"LED1";"Red LED";"LED0603";"LED-0603";"LEDs";"";
"LED2";"Green LED";"LED0603";"LED-0603";"LEDs";"";
"R1";"220";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R2";"220";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R3";"4.7k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R4";"100";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R5";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R6";"100";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R7";"120";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R8";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R9";"20k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"U$1";"HM-11";"HM-11";"HM-11";"JNHuaMao HM-11 Bluetooth 4.0 Transceiver";"";
"U1";"ATMEGA328P-AU";"ATMEGA328P-AU";"QFP80P900X900X120-32N";"";"";
"U2";"PMIC-LDO-XC6206P332MR-G(SOT23)";"PMIC-LDO-XC6206P332MR-G(SOT23)";"SOT-23";"310030099";"";
